id,verdict,group,title,model,target,source,line,original,report,reason,proposed_action
BUG-015,false-positives,initialization-conflict,Zero-storage example has incompatible fixed initial conditions,Modelica.Mechanics.Rotational.Examples.ElasticBearing,shaft.J,Mechanics/Rotational/Components/Inertia.mo,4,BUG-015-elasticbearing-shaft-j.md,false-positives/BUG-015.md,"The nominal example runs. Recompiling with the reported zero removes a storage state and exposes inconsistent fixed initial equations, not an unavoidable reciprocal in the primitive component. Control Shaft keeps the zero and relaxes the relevant fixed initial conditions; it simulates successfully. The exact original trigger does fail, but its attribution to a generally invalid library min=0 is false. Fix the example initialization or constrain this particular example if it must retain those starts.",Correct the detector/adjudicator for this specific semantic case; do not impose a blanket strictly-positive bound on the library declaration.
BUG-016,false-positives,translation-sensitive-zero,Runtime override does not prove a missing library bound,Modelica.Mechanics.Rotational.Examples.ElasticBearing,housing.J,Mechanics/Rotational/Components/Inertia.mo,4,BUG-016-elasticbearing-housing-j.md,false-positives/BUG-016.md,"The historical runtime-override failure reproduces, but the exact reported model simulates successfully when the same zero is set as a final parameter before translation with final-parameter evaluation enabled. The alleged unavoidable divide-by-zero is introduced by the chosen solved/state representation. This refutes the claimed necessity of globally banning zero; it does not promise every connected topology or tunable override is valid.",Correct the detector/adjudicator for this specific semantic case; do not impose a blanket strictly-positive bound on the library declaration.
BUG-017,false-positives,initialization-conflict,Zero-storage example has incompatible fixed initial conditions,Modelica.Mechanics.Translational.Examples.WhyArrows,inertia2.m,Mechanics/Translational/Components/Mass.mo,3,BUG-017-whyarrows-inertia2-m.md,false-positives/BUG-017.md,"The nominal example runs. Recompiling with the reported zero removes a storage state and exposes inconsistent fixed initial equations, not an unavoidable reciprocal in the primitive component. Control Arrows keeps the zero and relaxes the relevant fixed initial conditions; it simulates successfully. The exact original trigger does fail, but its attribution to a generally invalid library min=0 is false. Fix the example initialization or constrain this particular example if it must retain those starts.",Correct the detector/adjudicator for this specific semantic case; do not impose a blanket strictly-positive bound on the library declaration.
BUG-018,confirmed,inactive-flux-normalization,Inactive material data still enter an unguarded division,ModelicaTest.Magnetic.FluxTubes.Sources,genericFluxTube1.material.B_myMax,Magnetic/FluxTubes/Material/SoftMagnetic/BaseData.mo,9,BUG-018-sources-genericfluxtube1-material-b-mymax.md,confirmed/BUG-018.md,"These instances set nonLinearPermeability=false, so B_myMax is documented as unused. Nevertheless FixedShape unconditionally defines B_N=abs(B/material.B_myMax). At B_myMax=0 this auxiliary equation is undefined. Rumoca and post-translation OpenModelica overrides fail; OpenModelica recompilation succeeds after removing the unused B_N equation. Therefore the original claim of a robust two-tool active-material failure is overstated, but the unconditional inactive-branch calculation is a source-verified defect.",Make B_N conditional: if nonLinearPermeability then abs(B/material.B_myMax) else 0. Validate B_myMax>0 only in the nonlinear branch. Do not reject unused material settings in linear mode. Verify that the compiler preserves lazy conditional evaluation.
BUG-019,confirmed,flux-length,Zero flux-tube length divides by zero,ModelicaTest.Magnetic.FluxTubes.Sources,genericFluxTube1.l,Magnetic/FluxTubes/Shapes/FixedShape/GenericFluxTube.mo,8,BUG-019-sources-genericfluxtube1-l.md,confirmed/BUG-019.md,G_m = mu_0*mu_r*A/l is evaluated with l=0. The numerator is nonzero for the nominal positive area/permeability. Baseline passes; the l=0 source-modified and final-evaluated models explicitly report division by zero.,"Validate strictly positive l and area at GenericFluxTube and guard reciprocal evaluation. Add meaningful positive parameter bounds for editor feedback, plus assertions for runtime enforcement. If zero geometry is intended, introduce a separate limiting magnetic element with consistent equations instead of evaluating 1/0."
BUG-020,confirmed,inactive-flux-normalization,Inactive material data still enter an unguarded division,ModelicaTest.Magnetic.FluxTubes.Sources,genericFluxTube2.material.B_myMax,Magnetic/FluxTubes/Material/SoftMagnetic/BaseData.mo,9,BUG-020-sources-genericfluxtube2-material-b-mymax.md,confirmed/BUG-020.md,"These instances set nonLinearPermeability=false, so B_myMax is documented as unused. Nevertheless FixedShape unconditionally defines B_N=abs(B/material.B_myMax). At B_myMax=0 this auxiliary equation is undefined. Rumoca and post-translation OpenModelica overrides fail; OpenModelica recompilation succeeds after removing the unused B_N equation. Therefore the original claim of a robust two-tool active-material failure is overstated, but the unconditional inactive-branch calculation is a source-verified defect.",Make B_N conditional: if nonLinearPermeability then abs(B/material.B_myMax) else 0. Validate B_myMax>0 only in the nonlinear branch. Do not reject unused material settings in linear mode. Verify that the compiler preserves lazy conditional evaluation.
BUG-021,confirmed,flux-length,Zero flux-tube length divides by zero,ModelicaTest.Magnetic.FluxTubes.Sources,genericFluxTube2.l,Magnetic/FluxTubes/Shapes/FixedShape/GenericFluxTube.mo,8,BUG-021-sources-genericfluxtube2-l.md,confirmed/BUG-021.md,G_m = mu_0*mu_r*A/l is evaluated with l=0. The numerator is nonzero for the nominal positive area/permeability. Baseline passes; the l=0 source-modified and final-evaluated models explicitly report division by zero.,"Validate strictly positive l and area at GenericFluxTube and guard reciprocal evaluation. Add meaningful positive parameter bounds for editor feedback, plus assertions for runtime enforcement. If zero geometry is intended, introduce a separate limiting magnetic element with consistent equations instead of evaluating 1/0."
BUG-022,confirmed,inactive-flux-normalization,Inactive material data still enter an unguarded division,ModelicaTest.Magnetic.FluxTubes.Sources,genericFluxTube3.material.B_myMax,Magnetic/FluxTubes/Material/SoftMagnetic/BaseData.mo,9,BUG-022-sources-genericfluxtube3-material-b-mymax.md,confirmed/BUG-022.md,"These instances set nonLinearPermeability=false, so B_myMax is documented as unused. Nevertheless FixedShape unconditionally defines B_N=abs(B/material.B_myMax). At B_myMax=0 this auxiliary equation is undefined. Rumoca and post-translation OpenModelica overrides fail; OpenModelica recompilation succeeds after removing the unused B_N equation. Therefore the original claim of a robust two-tool active-material failure is overstated, but the unconditional inactive-branch calculation is a source-verified defect.",Make B_N conditional: if nonLinearPermeability then abs(B/material.B_myMax) else 0. Validate B_myMax>0 only in the nonlinear branch. Do not reject unused material settings in linear mode. Verify that the compiler preserves lazy conditional evaluation.
BUG-023,confirmed,flux-length,Zero flux-tube length divides by zero,ModelicaTest.Magnetic.FluxTubes.Sources,genericFluxTube3.l,Magnetic/FluxTubes/Shapes/FixedShape/GenericFluxTube.mo,8,BUG-023-sources-genericfluxtube3-l.md,confirmed/BUG-023.md,G_m = mu_0*mu_r*A/l is evaluated with l=0. The numerator is nonzero for the nominal positive area/permeability. Baseline passes; the l=0 source-modified and final-evaluated models explicitly report division by zero.,"Validate strictly positive l and area at GenericFluxTube and guard reciprocal evaluation. Add meaningful positive parameter bounds for editor feedback, plus assertions for runtime enforcement. If zero geometry is intended, introduce a separate limiting magnetic element with consistent equations instead of evaluating 1/0."
BUG-024,confirmed,opamp-supply-span,Equal op-amp supplies divide by zero,Modelica.Electrical.Analog.Examples.OpAmps.LCOscillator,opAmp.Vps,Electrical/Analog/Ideal/IdealizedOpAmpLimited.mo,6,BUG-024-lcoscillator-opamp-vps.md,confirmed/BUG-024.md,"The source defines i_s = p_s/(vps-vns) with no nonzero-span assertion. In LCOscillator and Comparator, Vns=-15; setting Vps=-15 makes the denominator exactly zero. The correct equality witness is -15, not Vps=0. Both nominal examples pass; the actual equality fails in Rumoca and in ordinary and final-evaluated OpenModelica models.","In IdealizedOpAmpLimited validate vps > vns (including useSupply=true pins), and make the zero-span behavior explicit. Do not divide before validation; use a guarded expression plus a domain assertion. If collapsed supplies are to be supported, specify and implement their power/current behavior rather than substituting an epsilon."
BUG-025,confirmed,flux-area,Zero flux-tube area makes the model undefined,ModelicaTest.Magnetic.FluxTubes.Sensors,genericFluxTube.area,Magnetic/FluxTubes/Shapes/FixedShape/GenericFluxTube.mo,11,BUG-025-sensors-genericfluxtube-area.md,confirmed/BUG-025.md,A=area; G_m=mu_0*mu_r*A/l; the inherited equations use R_m=1/G_m and B=Phi/A. area=0 makes both reciprocals undefined. Runtime overrides report division by zero; final-evaluated translation is structurally singular. This is not merely dividing a storage equation while selecting a state.,"Validate strictly positive l and area at GenericFluxTube and guard reciprocal evaluation. Add meaningful positive parameter bounds for editor feedback, plus assertions for runtime enforcement. If zero geometry is intended, introduce a separate limiting magnetic element with consistent equations instead of evaluating 1/0."
BUG-026,false-positives,translation-sensitive-zero,Runtime override does not prove a missing library bound,Modelica.Mechanics.Rotational.Examples.ElasticBearing,idealGear.ratio,Mechanics/Rotational/Components/IdealGear.mo,6,BUG-026-elasticbearing-idealgear-ratio.md,false-positives/BUG-026.md,"The historical runtime-override failure reproduces, but the exact reported model simulates successfully when the same zero is set as a final parameter before translation with final-parameter evaluation enabled. The alleged unavoidable divide-by-zero is introduced by the chosen solved/state representation. This refutes the claimed necessity of globally banning zero; it does not promise every connected topology or tunable override is valid.",Correct the detector/adjudicator for this specific semantic case; do not impose a blanket strictly-positive bound on the library declaration.
DECL-0001,unresolved,declaration-needs-proof,Not yet established as a bug or a false positive,,AD,Electrical/Spice3.mo,4457,DECL-0001-spice3-ad.md,unresolved/DECL-0001.md,"This is a declaration-only census entry, with no enclosing executable model or failing witness. The source declaration was located and retained, but missing a local min is not sufficient: inherited types, intended signed/zero values, usage and guards still need a declaration-specific proof.","Resolve the intended parameter domain and enclosing equations; check inherited bounds, final/protected status, guards and aliases. Construct an otherwise-valid source-level witness, establish a clean baseline in a capable engine, then retranslate at the witness and compare with the runtime override. For equality claims use the actual partner value. Do not apply a blanket min>0 fix yet."
DECL-0002,unresolved,declaration-needs-proof,Not yet established as a bug or a false positive,,AS,Electrical/Spice3.mo,4458,DECL-0002-spice3-as.md,unresolved/DECL-0002.md,"This is a declaration-only census entry, with no enclosing executable model or failing witness. The source declaration was located and retained, but missing a local min is not sufficient: inherited types, intended signed/zero values, usage and guards still need a declaration-specific proof.","Resolve the intended parameter domain and enclosing equations; check inherited bounds, final/protected status, guards and aliases. Construct an otherwise-valid source-level witness, establish a clean baseline in a capable engine, then retranslate at the witness and compare with the runtime override. For equality claims use the actual partner value. Do not apply a blanket min>0 fix yet."
DECL-0003,unresolved,declaration-needs-proof,Not yet established as a bug or a false positive,,AD,Electrical/Spice3.mo,4663,DECL-0003-spice3-ad.md,unresolved/DECL-0003.md,"This is a declaration-only census entry, with no enclosing executable model or failing witness. The source declaration was located and retained, but missing a local min is not sufficient: inherited types, intended signed/zero values, usage and guards still need a declaration-specific proof.","Resolve the intended parameter domain and enclosing equations; check inherited bounds, final/protected status, guards and aliases. Construct an otherwise-valid source-level witness, establish a clean baseline in a capable engine, then retranslate at the witness and compare with the runtime override. For equality claims use the actual partner value. Do not apply a blanket min>0 fix yet."
DECL-0004,unresolved,declaration-needs-proof,Not yet established as a bug or a false positive,,AS,Electrical/Spice3.mo,4664,DECL-0004-spice3-as.md,unresolved/DECL-0004.md,"This is a declaration-only census entry, with no enclosing executable model or failing witness. The source declaration was located and retained, but missing a local min is not sufficient: inherited types, intended signed/zero values, usage and guards still need a declaration-specific proof.","Resolve the intended parameter domain and enclosing equations; check inherited bounds, final/protected status, guards and aliases. Construct an otherwise-valid source-level witness, establish a clean baseline in a capable engine, then retranslate at the witness and compare with the runtime override. For equality claims use the actual partner value. Do not apply a blanket min>0 fix yet."
DECL-0005,unresolved,declaration-needs-proof,Not yet established as a bug or a false positive,,A_cross,Fluid/Dissipation.mo,12629,DECL-0005-dissipation-a-cross.md,unresolved/DECL-0005.md,"This is a declaration-only census entry, with no enclosing executable model or failing witness. The source declaration was located and retained, but missing a local min is not sufficient: inherited types, intended signed/zero values, usage and guards still need a declaration-specific proof.","Resolve the intended parameter domain and enclosing equations; check inherited bounds, final/protected status, guards and aliases. Construct an otherwise-valid source-level witness, establish a clean baseline in a capable engine, then retranslate at the witness and compare with the runtime override. For equality claims use the actual partner value. Do not apply a blanket min>0 fix yet."
DECL-0006,unresolved,declaration-needs-proof,Not yet established as a bug or a false positive,,A_cross_nom,Fluid/Dissipation.mo,12631,DECL-0006-dissipation-a-cross-nom.md,unresolved/DECL-0006.md,"This is a declaration-only census entry, with no enclosing executable model or failing witness. The source declaration was located and retained, but missing a local min is not sufficient: inherited types, intended signed/zero values, usage and guards still need a declaration-specific proof.","Resolve the intended parameter domain and enclosing equations; check inherited bounds, final/protected status, guards and aliases. Construct an otherwise-valid source-level witness, establish a clean baseline in a capable engine, then retranslate at the witness and compare with the runtime override. For equality claims use the actual partner value. Do not apply a blanket min>0 fix yet."
DECL-0007,unresolved,declaration-needs-proof,Not yet established as a bug or a false positive,,crossArea,Fluid/Examples/AST_BatchPlant.mo,604,DECL-0007-ast-batchplant-crossarea.md,unresolved/DECL-0007.md,"This is a declaration-only census entry, with no enclosing executable model or failing witness. The source declaration was located and retained, but missing a local min is not sufficient: inherited types, intended signed/zero values, usage and guards still need a declaration-specific proof.","Resolve the intended parameter domain and enclosing equations; check inherited bounds, final/protected status, guards and aliases. Construct an otherwise-valid source-level witness, establish a clean baseline in a capable engine, then retranslate at the witness and compare with the runtime override. For equality claims use the actual partner value. Do not apply a blanket min>0 fix yet."
DECL-0008,unresolved,declaration-needs-proof,Not yet established as a bug or a false positive,,top_pipeArea,Fluid/Examples/AST_BatchPlant.mo,605,DECL-0008-ast-batchplant-top-pipearea.md,unresolved/DECL-0008.md,"This is a declaration-only census entry, with no enclosing executable model or failing witness. The source declaration was located and retained, but missing a local min is not sufficient: inherited types, intended signed/zero values, usage and guards still need a declaration-specific proof.","Resolve the intended parameter domain and enclosing equations; check inherited bounds, final/protected status, guards and aliases. Construct an otherwise-valid source-level witness, establish a clean baseline in a capable engine, then retranslate at the witness and compare with the runtime override. For equality claims use the actual partner value. Do not apply a blanket min>0 fix yet."
DECL-0009,unresolved,declaration-needs-proof,Not yet established as a bug or a false positive,,side_pipeArea,Fluid/Examples/AST_BatchPlant.mo,606,DECL-0009-ast-batchplant-side-pipearea.md,unresolved/DECL-0009.md,"This is a declaration-only census entry, with no enclosing executable model or failing witness. The source declaration was located and retained, but missing a local min is not sufficient: inherited types, intended signed/zero values, usage and guards still need a declaration-specific proof.","Resolve the intended parameter domain and enclosing equations; check inherited bounds, final/protected status, guards and aliases. Construct an otherwise-valid source-level witness, establish a clean baseline in a capable engine, then retranslate at the witness and compare with the runtime override. For equality claims use the actual partner value. Do not apply a blanket min>0 fix yet."
DECL-0010,unresolved,declaration-needs-proof,Not yet established as a bug or a false positive,,bottom_pipeArea,Fluid/Examples/AST_BatchPlant.mo,607,DECL-0010-ast-batchplant-bottom-pipearea.md,unresolved/DECL-0010.md,"This is a declaration-only census entry, with no enclosing executable model or failing witness. The source declaration was located and retained, but missing a local min is not sufficient: inherited types, intended signed/zero values, usage and guards still need a declaration-specific proof.","Resolve the intended parameter domain and enclosing equations; check inherited bounds, final/protected status, guards and aliases. Construct an otherwise-valid source-level witness, establish a clean baseline in a capable engine, then retranslate at the witness and compare with the runtime override. For equality claims use the actual partner value. Do not apply a blanket min>0 fix yet."
DECL-0011,unresolved,declaration-needs-proof,Not yet established as a bug or a false positive,,crossArea,Fluid/Examples/AST_BatchPlant.mo,1445,DECL-0011-ast-batchplant-crossarea.md,unresolved/DECL-0011.md,"This is a declaration-only census entry, with no enclosing executable model or failing witness. The source declaration was located and retained, but missing a local min is not sufficient: inherited types, intended signed/zero values, usage and guards still need a declaration-specific proof.","Resolve the intended parameter domain and enclosing equations; check inherited bounds, final/protected status, guards and aliases. Construct an otherwise-valid source-level witness, establish a clean baseline in a capable engine, then retranslate at the witness and compare with the runtime override. For equality claims use the actual partner value. Do not apply a blanket min>0 fix yet."
DECL-0012,unresolved,declaration-needs-proof,Not yet established as a bug or a false positive,,crossArea_1,Fluid/Examples/HeatExchanger.mo,118,DECL-0012-heatexchanger-crossarea-1.md,unresolved/DECL-0012.md,"This is a declaration-only census entry, with no enclosing executable model or failing witness. The source declaration was located and retained, but missing a local min is not sufficient: inherited types, intended signed/zero values, usage and guards still need a declaration-specific proof.","Resolve the intended parameter domain and enclosing equations; check inherited bounds, final/protected status, guards and aliases. Construct an otherwise-valid source-level witness, establish a clean baseline in a capable engine, then retranslate at the witness and compare with the runtime override. For equality claims use the actual partner value. Do not apply a blanket min>0 fix yet."
DECL-0013,unresolved,declaration-needs-proof,Not yet established as a bug or a false positive,,crossArea_2,Fluid/Examples/HeatExchanger.mo,119,DECL-0013-heatexchanger-crossarea-2.md,unresolved/DECL-0013.md,"This is a declaration-only census entry, with no enclosing executable model or failing witness. The source declaration was located and retained, but missing a local min is not sufficient: inherited types, intended signed/zero values, usage and guards still need a declaration-specific proof.","Resolve the intended parameter domain and enclosing equations; check inherited bounds, final/protected status, guards and aliases. Construct an otherwise-valid source-level witness, establish a clean baseline in a capable engine, then retranslate at the witness and compare with the runtime override. For equality claims use the actual partner value. Do not apply a blanket min>0 fix yet."
DECL-0014,unresolved,declaration-needs-proof,Not yet established as a bug or a false positive,,area_h_1,Fluid/Examples/HeatExchanger.mo,138,DECL-0014-heatexchanger-area-h-1.md,unresolved/DECL-0014.md,"This is a declaration-only census entry, with no enclosing executable model or failing witness. The source declaration was located and retained, but missing a local min is not sufficient: inherited types, intended signed/zero values, usage and guards still need a declaration-specific proof.","Resolve the intended parameter domain and enclosing equations; check inherited bounds, final/protected status, guards and aliases. Construct an otherwise-valid source-level witness, establish a clean baseline in a capable engine, then retranslate at the witness and compare with the runtime override. For equality claims use the actual partner value. Do not apply a blanket min>0 fix yet."
DECL-0015,unresolved,declaration-needs-proof,Not yet established as a bug or a false positive,,area_h_2,Fluid/Examples/HeatExchanger.mo,139,DECL-0015-heatexchanger-area-h-2.md,unresolved/DECL-0015.md,"This is a declaration-only census entry, with no enclosing executable model or failing witness. The source declaration was located and retained, but missing a local min is not sufficient: inherited types, intended signed/zero values, usage and guards still need a declaration-specific proof.","Resolve the intended parameter domain and enclosing equations; check inherited bounds, final/protected status, guards and aliases. Construct an otherwise-valid source-level witness, establish a clean baseline in a capable engine, then retranslate at the witness and compare with the runtime override. For equality claims use the actual partner value. Do not apply a blanket min>0 fix yet."
DECL-0016,unresolved,declaration-needs-proof,Not yet established as a bug or a false positive,,area_h,Fluid/Examples/HeatExchanger.mo,151,DECL-0016-heatexchanger-area-h.md,unresolved/DECL-0016.md,"This is a declaration-only census entry, with no enclosing executable model or failing witness. The source declaration was located and retained, but missing a local min is not sufficient: inherited types, intended signed/zero values, usage and guards still need a declaration-specific proof.","Resolve the intended parameter domain and enclosing equations; check inherited bounds, final/protected status, guards and aliases. Construct an otherwise-valid source-level witness, establish a clean baseline in a capable engine, then retranslate at the witness and compare with the runtime override. For equality claims use the actual partner value. Do not apply a blanket min>0 fix yet."
